Name;Pseudomonas_brassicacearum_strain_3Re2_7_3Re2_7 ;Pseudomonas_brassicacearum_strain_51MFCVI2 ;Pseudomonas_brassicacearum_strain_BS3663_BS3663 ;Pseudomonas_brassicacearum_strain_L13_6_12_L13_6_12 ;Pseudomonas_brassicacearum_strain_LBUM300_LBUM300 ;Pseudomonas_brassicacearum_strain_NFM421_NFM421 ;Pseudomonas_brassicacearum_strain_PA1G7 ;Pseudomonas_brassicacearum_strain_PP1_210F ;Pseudomonas_brassicacearum_strain_TM1A3 
Bifunctional protein PutA;1;1;1;1;1;1;1;1;1
Sodium/proline symporter;1;1;1;1;1;1;1;1;1
Phage-related baseplate assembly protein;1;1;1;1;1;1;1;1;1
Ribosomal RNA large subunit methyltransferase J;1;1;1;1;1;1;1;1;1
septum formation inhibitor;1;0;1;0;1;0;0;0;1
Peptide methionine sulfoxide reductase MsrA;1;1;1;1;1;1;1;1;1
Cyclic di-GMP phosphodiesterase Gmr;1;1;1;1;1;1;1;1;1
Alkaline phosphatase D precursor;1;1;1;1;1;1;1;1;1
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex;1;1;1;1;1;1;1;1;1
Pyruvate dehydrogenase E1 component;1;1;1;1;1;1;1;1;1
Glutamate-ammonia-ligase adenylyltransferase;1;1;1;1;1;1;1;1;1
ADP-heptose--LPS heptosyltransferase 2;1;1;1;1;1;1;1;1;1
Lipopolysaccharide heptosyltransferase 1;1;1;1;1;1;1;1;1;1
Lipopolysaccharide core biosynthesis protein RfaG;1;1;1;1;1;1;1;1;1
Lipopolysaccharide core heptose(I) kinase RfaP;1;1;1;1;1;1;1;1;1
3-deoxy-D-manno-octulosonic-acid kinase;1;1;1;1;1;1;1;1;1
3-deoxy-D-manno-octulosonic-acid kinase;1;1;1;1;1;1;1;1;1
Decarbamoylnovobiocin carbamoyltransferase;1;1;1;1;1;1;1;1;1
D-inositol 3-phosphate glycosyltransferase;1;1;1;1;1;1;1;1;1
Mig-14;1;1;1;1;1;1;1;1;1
GlcNAc-PI de-N-acetylase;1;1;1;1;1;1;1;1;1
Putative glycosyltransferase EpsF;1;1;1;1;1;1;1;1;1
Chondroitin synthase;1;1;1;1;1;1;1;1;1
O-Antigen ligase;1;1;1;1;1;1;1;1;1
Lipid A export ATP-binding/permease protein MsbA;1;1;1;1;1;1;1;1;1
Sulfotransferase family protein;1;1;1;1;1;1;1;1;1
Adenylyl-sulfate kinase;1;1;1;1;1;1;1;1;1
Bifunctional protein HldE;1;1;1;1;1;1;1;1;1
General stress protein 69;1;1;1;1;1;1;1;1;1
tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC;1;1;1;1;1;1;1;1;1
Multidrug transporter EmrE;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator CynR;1;1;1;1;1;1;1;1;1
3-deoxy-D-manno-octulosonic acid transferase;1;1;1;1;1;1;1;1;1
Outer membrane protein TolC precursor;1;1;1;1;1;1;1;1;1
Phosphomethylpyrimidine synthase;1;1;1;1;1;1;1;1;1
Cytosine permease;1;1;1;1;1;1;1;1;1
ADP-ribose pyrophosphatase;1;1;1;1;1;1;1;1;1
putative dehydrogenase;1;1;1;1;1;1;1;1;1
3,5-cyclic adenosine monophosphate phosphodiesterase CpdA;1;1;1;1;1;1;1;1;1
esterase YqiA;1;1;1;1;1;1;1;1;1
DNA topoisomerase 4 subunit B;1;1;1;1;1;1;1;1;1
DNA topoisomerase 4 subunit A;1;1;1;1;1;1;1;1;1
HAMP domain protein;1;1;1;1;1;1;1;1;1
Phosphoserine phosphatase;1;1;1;1;1;1;1;1;1
Phosphatidylserine decarboxylase proenzyme;1;1;1;1;1;1;1;1;1
Thiosulfate sulfurtransferase;1;1;1;1;1;1;1;1;1
HDOD domain protein;1;1;1;1;1;1;1;1;1
Motility protein A;1;1;1;1;1;1;1;1;1
Motility protein B;1;1;1;1;1;1;1;1;1
Putative ribosome biogenesis GTPase RsgA;1;1;1;1;1;1;1;1;1
Oligoribonuclease;1;1;1;1;1;1;1;1;1
Epoxyqueuosine reductase;1;1;1;1;1;1;1;1;1
Bifunctional NAD(P)H-hydrate repair enzyme Nnr;1;1;1;1;1;1;1;1;1
tRNA threonylcarbamoyladenosine biosynthesis protein TsaE;1;1;1;1;1;1;1;1;1
N-acetylmuramoyl-L-alanine amidase AmiC precursor;1;1;1;1;1;1;1;1;1
DNA mismatch repair protein MutL;1;1;1;1;1;1;1;1;1
tRNA dimethylallyltransferase;1;1;1;1;1;1;1;1;1
RNA-binding protein Hfq;1;1;1;1;1;1;1;1;1
GTPase HflX;1;1;1;1;1;1;1;1;1
Modulator of FtsH protease HflK;1;1;1;1;1;1;1;1;1
Modulator of FtsH protease HflC;1;1;1;1;1;1;1;1;1
ATP phosphoribosyltransferase regulatory subunit;1;1;1;1;1;1;1;1;1
Adenylosuccinate synthetase;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein PctC;1;1;1;1;1;1;1;1;1
Ribonuclease R;1;1;1;1;1;1;1;1;1
23S rRNA (guanosine-2-O-)-methyltransferase RlmB;1;1;1;1;1;1;1;1;1
30S ribosomal protein S6;1;1;1;1;1;1;1;1;1
30S ribosomal protein S18;1;1;1;1;1;1;1;1;1
50S ribosomal protein L9;1;1;1;1;1;1;1;1;1
Replicative DNA helicase;1;1;1;1;1;1;1;1;1
Protein-glutamine gamma-glutamyltransferase;1;1;1;1;1;1;1;1;1
Dihydroneopterin triphosphate pyrophosphatase;1;1;1;1;1;1;1;1;1
LOG family protein YvdD;1;1;1;1;1;1;1;1;1
Azurin precursor;1;1;1;1;1;1;1;1;1
NH(3)-dependent NAD(+) synthetase;1;1;1;1;1;1;1;1;1
Nicotinate phosphoribosyltransferase 2;1;1;1;1;1;1;1;1;1
Glycine cleavage system transcriptional activator;1;1;1;1;1;1;1;1;1
Succinate-semialdehyde dehydrogenase [NADP(+)];1;1;1;1;1;1;1;1;1
Gamma-glutamylputrescine oxidoreductase;1;1;1;1;1;1;1;1;1
Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein precursor;1;1;1;1;1;1;1;1;1
High-affinity branched-chain amino acid transport system permease protein LivH;1;1;1;1;1;1;1;1;1
High-affinity branched-chain amino acid transport system permease protein LivH;1;1;1;1;1;1;1;1;1
Glutamine transport ATP-binding protein GlnQ;1;1;1;1;1;1;1;1;1
High-affinity branched-chain amino acid transport ATP-binding protein LivF;1;1;1;1;1;1;1;1;1
Sulfoacetaldehyde reductase 2;1;1;1;1;1;1;1;1;1
Cellobiose 2-epimerase;1;1;1;1;1;1;1;1;1
HupE / UreJ protein;1;1;1;1;1;1;1;1;1
Urease accessory protein UreG;1;1;1;1;1;1;1;1;1
Urease accessory protein UreF;1;1;1;1;1;1;1;1;1
Urease accessory protein UreE;1;1;1;1;1;1;1;1;1
HTH-type transcriptional repressor FabR;1;1;1;1;1;1;1;1;1
AsmA family protein;1;1;1;1;1;1;1;1;1
Bacterioferritin;1;1;1;1;1;1;1;1;1
Glycine cleavage system transcriptional activator;1;1;1;1;1;1;1;1;1
FMN-dependent NADH-azoreductase 1;1;1;1;1;1;1;1;1;1
Lactonizing lipase precursor;1;1;1;1;1;1;1;1;1
Phosphate starvation-inducible protein PsiF precursor;1;1;1;1;1;1;1;1;1
Chaperone protein DnaK;1;1;1;1;1;1;1;1;1
Curved DNA-binding protein;1;1;1;1;1;1;1;1;1
Chaperone modulatory protein CbpM;1;1;1;1;1;1;1;1;1
putative E3 ubiquitin-protein ligase ipaH7.8;1;1;1;1;1;1;1;1;1
Urease subunit alpha;1;1;1;1;1;1;1;1;1
Urease subunit beta;1;1;1;1;1;1;1;1;1
Acetyltransferase;1;1;1;1;1;1;1;1;1
N-acyltransferase YncA;1;1;1;1;1;1;1;1;1
Urease subunit gamma;1;1;1;1;1;1;1;1;1
Urease accessory protein UreD;1;1;1;1;1;1;1;1;1
High-affinity branched-chain amino acid transport ATP-binding protein LivF;1;1;1;1;1;1;1;1;1
Lipopolysaccharide export system ATP-binding protein LptB;1;1;1;1;1;1;1;1;1
leucine/isoleucine/valine transporter permease subunit;1;1;1;1;1;1;1;1;1
High-affinity branched-chain amino acid transport system permease protein LivH;1;1;1;1;1;1;1;1;1
Aliphatic amidase expression-regulating protein;1;1;1;1;1;1;1;1;1
Hemin transport system permease protein HmuU;1;1;1;1;1;1;1;1;1
Vitamin B12-binding protein precursor;1;1;1;1;1;1;1;1;1
Hemin import ATP-binding protein HmuV;1;1;1;1;1;1;1;1;1
PepSY-associated TM helix;1;1;1;1;1;1;1;1;1
Ferric enterobactin receptor precursor;1;1;1;1;1;1;1;1;1
Precorrin-6A reductase;1;1;1;1;1;1;1;1;1
cobalt-precorrin-6A synthase;1;1;1;1;1;1;1;1;1
Precorrin-6Y C(5,15)-methyltransferase [decarboxylating];1;1;1;1;1;1;1;1;1
Sulfite reductase [ferredoxin];1;1;1;1;1;1;1;1;1
Precorrin-8X methylmutase;1;1;1;1;1;1;1;1;1
Precorrin-2 C(20)-methyltransferase;1;1;1;1;1;1;1;1;1
Precorrin-3B C(17)-methyltransferase;1;1;1;1;1;1;1;1;1
Toxin A;1;1;1;1;1;1;1;1;1
Signal transduction histidine-protein kinase BarA;1;1;1;1;1;1;1;1;1
Phosphoribosylamine--glycine ligase;1;1;1;1;1;1;1;1;1
Bifunctional purine biosynthesis protein PurH;1;1;1;1;1;1;1;1;1
DNA-binding protein Fis;1;1;1;1;1;1;1;1;1
tRNA-dihydrouridine synthase C;1;1;1;1;1;1;1;1;1
Ribosomal protein L11 methyltransferase;1;1;1;1;1;1;1;1;1
Biotin carboxylase;1;1;1;1;1;1;1;1;1
Biotin carboxyl carrier protein of acetyl-CoA carboxylase;1;1;1;1;1;1;1;1;1
3-dehydroquinate dehydratase;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein CtpL;1;1;1;1;1;1;1;1;1
Response regulator PleD;1;1;1;1;1;1;1;1;1
putative Nudix hydrolase YfcD;1;1;1;1;1;1;1;1;1
translation initiation factor Sui1;1;1;1;1;1;1;1;1;1
Biosynthetic arginine decarboxylase;1;1;1;1;1;1;1;1;1
Phage-related baseplate assembly protein;1;1;1;1;1;1;1;1;1
DNA-damage-inducible protein F;1;1;1;1;1;1;1;1;1
Ubiquinone biosynthesis O-methyltransferase;1;1;1;1;1;1;1;1;1
MaoC like domain protein;1;1;1;1;1;1;1;1;1
3-oxoacyl-[acyl-carrier-protein] reductase FabG;1;1;1;1;1;1;1;1;1
3-ketoacyl-CoA thiolase;1;1;1;1;1;1;1;1;1
Sodium Bile acid symporter family protein;1;1;1;1;1;1;1;1;1
HTH-type transcriptional repressor of iron proteins A;1;1;1;1;1;1;1;1;1
RIO1 family protein;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator HmrR;1;0;1;1;1;1;1;1;1
Copper-exporting P-type ATPase A;1;1;1;1;1;1;1;1;1
Copper chaperone CopZ;1;1;1;1;1;1;1;1;1
Bicyclomycin resistance protein;1;1;1;1;1;1;1;1;1
Zinc-type alcohol dehydrogenase-like protein;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator DmlR;1;1;1;1;1;1;1;1;1
Helix-turn-helix domain protein;1;1;1;1;1;1;1;1;1
Putative niacin/nicotinamide transporter NaiP;1;1;1;1;1;1;1;1;1
Adenine deaminase;1;1;1;1;1;1;1;1;1
2-oxoglutarate-dependent ethylene/succinate-forming enzyme;1;1;1;1;1;1;1;1;1
Purine-binding protein precursor;1;1;1;1;1;1;1;1;1
Sodium/proton antiporter ChaA;1;1;1;1;1;1;1;1;1
8-oxoguanine deaminase;1;1;1;1;1;1;1;1;1
C-factor;1;1;1;1;1;1;1;1;1
Mercuric resistance operon regulatory protein;1;1;1;1;1;1;1;1;1
Branched-chain amino acid transport system / permease component;1;1;1;1;1;1;1;1;1
D-allose transporter subunit;1;1;1;1;1;1;1;1;1
Galactose/methyl galactoside import ATP-binding protein MglA;1;1;1;1;1;1;1;1;1
IMPACT family member YigZ;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator RutR;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator CysL;1;1;1;1;1;1;1;1;1
Omega-amino acid--pyruvate aminotransferase;1;1;1;1;1;1;1;1;1
Methylmalonate-semialdehyde dehydrogenase [acylating];1;1;1;1;1;1;1;1;1
RecBCD enzyme subunit RecC;1;1;1;1;1;1;1;1;1
RecBCD enzyme subunit RecB;1;1;1;1;1;1;1;1;1
RecBCD enzyme subunit RecD;1;1;1;1;1;1;1;1;1
putative diguanylate cyclase YfiN;1;1;1;1;1;1;1;1;1
Peptidoglycan-binding protein ArfA;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator GltR;1;1;1;1;1;1;1;1;1
Methylmalonate-semialdehyde dehydrogenase [acylating];1;1;1;1;1;1;1;1;1
3-hydroxyisobutyrate dehydrogenase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator CynR;1;1;1;1;1;1;1;1;1
Sulfite exporter TauE/SafE;1;1;1;1;1;1;1;1;1
Putative monooxygenase YcnE;1;1;1;1;1;1;1;1;1
Modulator of drug activity B;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator DmlR;1;1;1;1;1;1;1;1;1
Bicarbonate transporter BicA;1;1;1;1;1;1;1;1;1
High-affinity gluconate transporter;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator RpiR;1;1;1;1;1;1;1;1;1
D-aminoacylase;1;1;1;1;1;1;1;1;1
Glyoxalase-like domain protein;1;1;1;1;1;1;1;1;1
tRNA nuclease WapA precursor;1;1;1;1;1;1;1;1;1
Mono(ADP-ribosyl)transferase SpvB;1;1;1;1;1;1;1;1;1
Salmonella virulence plasmid 28.1kDa A protein;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein McpS;1;1;1;1;1;1;1;1;1
Lipopolysaccharide core heptose(II)-phosphate phosphatase precursor;1;1;1;1;1;1;1;1;1
PAP2 superfamily protein;1;1;1;1;1;1;1;1;1
Catalase-peroxidase;1;1;1;1;1;1;1;1;1
Glutathione-binding protein GsiB precursor;1;1;1;1;1;1;1;1;1
Oligopeptide transport ATP-binding protein OppF;1;1;1;1;1;1;1;1;1
putative D,D-dipeptide transport ATP-binding protein DdpD;1;1;1;1;1;1;1;1;1
putative D,D-dipeptide transport system permease protein DdpC;1;1;1;1;1;1;1;1;1
Glutathione transport system permease protein GsiC;1;1;1;1;1;1;1;1;1
Proline iminopeptidase;1;1;1;1;1;1;1;1;1
Transcriptional activator protein LuxR;1;1;1;1;1;1;1;1;1
L-amino acid amidase;1;1;1;1;1;1;1;1;1
Hemolysin transporter protein ShlB precursor;1;1;1;1;1;1;1;1;1
Hemolysin precursor;1;1;1;1;1;1;1;1;1
NYN domain protein;1;1;1;1;0;0;0;1;1
3-oxoacyl-[acyl-carrier-protein] reductase FabG;1;1;1;0;1;1;1;1;0
transcriptional activator FtrA;1;1;1;0;1;1;1;1;0
2-isopropylmalate synthase;1;1;1;1;1;1;1;1;1
ORF11CD3 domain protein;1;0;0;0;0;0;0;0;0
Tyrosine recombinase XerC;1;1;0;0;0;0;0;0;0
Prophage CP4-57 integrase;1;1;1;0;1;1;1;1;0
putative FAD-linked oxidoreductase;1;1;1;1;1;1;1;1;1
Lactate utilization protein C;1;1;1;1;1;1;1;1;1
Lactate utilization protein B;1;1;1;1;1;1;1;1;1
Lactate utilization protein A;1;1;1;1;1;1;1;1;1
Glycolate permease GlcA;1;1;1;1;1;1;1;1;1
Pyruvate dehydrogenase complex repressor;1;1;1;1;1;1;1;1;1
SsrA-binding protein;1;1;1;1;1;1;1;1;1
Sodium:neurotransmitter symporter family protein;1;1;1;1;1;1;1;1;1
Ribosome association toxin RatA;1;1;1;1;1;1;1;1;1
Persistence and stress-resistance antitoxin PasI;1;1;1;1;1;1;1;1;1
Outer membrane protein assembly factor BamE precursor;1;1;1;1;1;1;1;1;1
Ferric uptake regulation protein;1;1;1;1;1;1;1;1;1
DNA repair protein RecN;1;1;1;1;1;1;1;1;1
heat shock protein GrpE;1;1;1;1;1;1;1;1;1
Chaperone protein DnaK;1;1;1;1;1;1;1;1;1
Chaperone protein DnaJ;1;1;1;1;1;1;1;1;1
4-hydroxy-tetrahydrodipicolinate reductase;1;1;1;1;1;1;1;1;1
Carbamoyl-phosphate synthase small chain;1;1;1;1;1;1;1;1;1
Carbamoyl-phosphate synthase large chain;1;1;1;1;1;1;1;1;1
Transcription elongation factor GreA;1;1;1;1;1;1;1;1;1
RNA-binding protein YhbY;1;1;1;1;1;1;1;1;1
Ribosomal RNA large subunit methyltransferase E;1;1;1;1;1;1;1;1;1
ATP-dependent zinc metalloprotease FtsH;1;1;1;1;1;1;1;1;1
Dihydropteroate synthase;1;1;1;1;1;1;1;1;1
Phosphoglucosamine mutase;1;1;1;1;1;1;1;1;1
Triosephosphate isomerase;1;1;1;1;1;1;1;1;1
Ribosome maturation factor RimP;1;1;1;1;1;1;1;1;1
Translation initiation factor IF-2;1;1;1;1;1;1;1;1;1
Ribosome-binding factor A;1;1;1;1;1;1;1;1;1
tRNA pseudouridine synthase B;1;1;1;1;1;1;1;1;1
30S ribosomal protein S15;1;1;1;1;1;1;1;1;1
Polyribonucleotide nucleotidyltransferase;1;1;1;1;1;1;1;1;1
Nicotinate-nucleotide pyrophosphorylase [carboxylating];1;1;1;1;1;1;1;1;1
1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD;1;1;1;1;1;1;1;1;1
regulatory protein AmpE;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein McpS;1;1;1;1;1;1;1;1;1
putative deoxyribonuclease YjjV;1;1;1;1;1;1;1;1;1
Catabolite repressor/activator;1;1;1;1;1;1;1;1;1
Phosphoenolpyruvate-protein phosphotransferase;1;1;1;1;1;1;1;1;1
Tagatose-6-phosphate kinase;1;1;1;1;1;1;1;1;1
PTS system fructose-specific EIIBC component;1;1;1;1;1;1;1;1;1
Alkaline phosphatase D precursor;1;1;1;1;1;1;1;1;1
Sulfite reductase [NADPH] flavoprotein alpha-component;1;1;1;1;1;1;1;1;1
Lysine/ornithine decarboxylase;1;1;1;1;1;1;1;1;1
Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA;1;1;1;1;1;1;1;1;1
Choline transport system permease protein OpuBB;1;1;1;1;1;1;1;1;1
Glycine betaine/carnitine/choline-binding protein OpuCC precursor;1;1;1;1;1;1;1;1;1
Choline transport system permease protein OpuBB;1;1;1;1;1;1;1;1;1
Peptide chain release factor 3;1;1;1;1;1;1;1;1;1
putative D,D-dipeptide transport ATP-binding protein DdpF;1;1;1;1;1;1;1;1;1
Oligopeptide transport ATP-binding protein OppD;1;1;1;1;1;1;1;1;1
Dipeptide transport system permease protein DppC;1;1;1;1;1;1;1;1;1
Dipeptide transport system permease protein DppB;1;1;1;1;1;1;1;1;1
Periplasmic dipeptide transport protein precursor;1;1;1;1;1;1;1;1;1
Porin D precursor;1;1;1;1;1;1;1;1;1
Periplasmic dipeptide transport protein precursor;1;1;1;1;1;1;1;1;1
Periplasmic dipeptide transport protein precursor;1;1;1;1;1;1;1;1;1
Sensor histidine kinase RegB;1;1;1;1;1;1;1;1;1
Photosynthetic apparatus regulatory protein RegA;1;1;1;1;1;1;1;1;1
Vitamin B12 transport ATP-binding protein BacA;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator LutR;1;1;1;1;1;1;1;1;1
putative 5-dehydro-4-deoxyglucarate dehydratase;1;1;1;1;1;1;1;1;1
Aldehyde dehydrogenase, thermostable;1;1;1;1;1;1;1;1;1
putative glucarate transporter;1;1;1;1;1;1;1;0;1
D-galactarate dehydratase;1;1;1;1;1;1;1;1;1
Membrane transport protein;1;1;1;1;1;1;1;1;1
Carboxymuconolactone decarboxylase family protein;1;1;1;1;1;1;1;1;1
Inner membrane protein YrbG;1;1;1;1;1;1;1;1;1
RlpA-like protein precursor;1;1;1;1;1;1;1;1;1
Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B;1;1;1;1;1;1;1;1;1
Glutamyl-tRNA(Gln) amidotransferase subunit A;1;1;1;1;1;1;1;1;1
Glutamyl-tRNA(Gln) amidotransferase subunit C;1;1;1;1;1;1;1;1;1
Rod shape-determining protein MreB;1;1;1;1;1;1;1;1;1
Cell shape-determining protein MreC;1;1;1;1;1;1;1;1;1
Rod shape-determining protein MreD;1;1;1;1;1;1;1;1;1
Maf-like protein YhdE;1;1;1;1;1;1;1;1;1
Ribonuclease G;1;1;1;1;1;1;1;1;1
2-oxoglutaramate amidase;1;1;1;1;1;1;1;1;1
protease TldD;1;1;1;1;1;1;1;1;1
peptidase PmbA;1;1;1;1;1;1;1;1;1
Fumarate hydratase class II;1;1;1;1;1;1;1;1;1
Tetratricopeptide repeat protein;1;1;1;1;1;1;1;1;1
Superoxide dismutase [Mn/Fe];1;1;1;1;1;1;1;1;1
Zinc transporter ZupT;1;1;1;1;1;1;1;1;1
Phosphocarrier protein NPr;1;1;1;1;1;1;1;1;1
glmZ(sRNA)-inactivating NTPase;1;1;1;1;1;1;1;1;1
Nitrogen regulatory protein;1;1;1;1;1;1;1;1;1
Ribosome hibernation promoting factor;1;1;1;1;1;1;1;1;1
RNA polymerase sigma-54 factor;1;1;1;1;1;1;1;1;1
Lipopolysaccharide export system ATP-binding protein LptB;1;1;1;1;1;1;1;1;1
Lipopolysaccharide export system protein LptA precursor;1;1;1;1;1;1;1;1;1
lipopolysaccharide exporter periplasmic protein;1;1;1;1;1;1;1;1;1
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC;1;1;1;1;1;1;1;1;1
Arabinose 5-phosphate isomerase KdsD;1;1;1;1;1;1;1;1;1
putative ABC transporter ATP-binding protein;1;1;1;1;1;1;1;1;1
putative phospholipid ABC transporter permease protein MlaE;1;1;1;1;1;1;1;1;1
putative phospholipid ABC transporter-binding protein MlaD;1;1;1;1;1;1;1;1;1
Toluene tolerance, Ttg2;1;1;1;1;1;1;1;1;1
Putative anti-sigma factor antagonist;1;1;1;1;1;1;1;1;1
BolA-like protein;1;1;1;1;1;1;1;1;1
UDP-N-acetylglucosamine 1-carboxyvinyltransferase;1;1;1;1;1;1;1;1;1
ATP phosphoribosyltransferase;1;1;1;1;1;1;1;1;1
Histidinol dehydrogenase;1;1;1;1;1;1;1;1;1
Histidinol-phosphate aminotransferase;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein PctA;1;1;1;1;1;1;1;1;1
Metalloprotease LoiP precursor;1;1;1;1;1;1;1;1;1
Ribosomal RNA small subunit methyltransferase C;1;1;1;1;1;1;1;1;1
Glycerate dehydrogenase;1;1;1;1;1;1;1;1;1
Threonine efflux protein;1;1;1;1;1;1;1;1;1
Long-chain-fatty-acid--CoA ligase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator MalT;1;1;1;1;1;1;1;1;1
Methylated-DNA--protein-cysteine methyltransferase;1;1;1;1;1;1;1;1;1
PhoD-like phosphatase;1;1;1;1;1;1;1;1;1
C4-dicarboxylate-binding periplasmic protein precursor;1;1;1;1;1;1;1;1;1
Sialic acid TRAP transporter permease protein SiaT;1;1;1;1;1;1;1;1;1
Tripartite ATP-independent periplasmic transporters, DctQ component;1;1;1;1;1;1;1;1;1
C4-dicarboxylate-binding periplasmic protein precursor;1;1;1;1;1;1;1;1;1
Pyruvate dehydrogenase E1 component;1;0;1;0;0;0;0;1;0
transcriptional regulator SlyA;1;0;1;0;0;0;0;1;0
Virulence protein;1;1;1;1;1;1;1;1;1
Asp/Glu/Hydantoin racemase;1;1;1;0;1;1;1;1;1
Hydroxypyruvate isomerase;1;1;1;0;1;1;1;1;1
putative acetyltransferase;1;0;1;0;1;1;1;1;0
Response regulator PleD;1;1;1;1;1;1;1;1;1
Sensory/regulatory protein RpfC;1;1;1;1;1;1;1;1;1
Pesticin receptor precursor;1;1;1;1;1;1;1;1;1
Cyclic di-GMP phosphodiesterase Gmr;1;1;1;1;1;1;1;1;1
PhoD-like phosphatase;1;1;1;1;1;1;1;1;1
Colicin-E3 immunity protein;1;1;1;1;1;0;1;1;0
Colicin-E3 immunity protein;1;1;1;1;1;0;1;1;0
Colicin-E3;1;1;1;1;1;0;1;1;0
Barstar;1;0;1;1;0;0;1;1;0
S-adenosylmethionine:tRNA ribosyltransferase-isomerase;1;1;1;1;1;1;1;1;1
Queuine tRNA-ribosyltransferase;1;1;1;1;1;1;1;1;1
preprotein translocase subunit YajC;1;1;1;1;1;1;1;1;1
preprotein translocase subunit SecD;1;1;1;1;1;1;1;1;1
preprotein translocase subunit SecF;1;1;1;1;1;1;1;1;1
Inositol-1-monophosphatase;1;1;1;1;1;1;1;1;1
tRNA (cytidine/uridine-2-O-)-methyltransferase TrmJ;1;1;1;1;1;1;1;1;1
Serine acetyltransferase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator IscR;1;1;1;1;1;1;1;1;1
Cysteine desulfurase;1;1;1;1;1;1;1;1;1
NifU-like protein;1;1;1;1;1;1;1;1;1
Iron-binding protein IscA;1;1;1;1;1;1;1;1;1
Co-chaperone protein HscB;1;1;1;1;1;1;1;1;1
Chaperone protein HscA;1;1;1;1;1;1;1;1;1
2Fe-2S ferredoxin;1;1;1;1;1;1;1;1;1
Nucleoside diphosphate kinase;1;1;1;1;1;1;1;1;1
Dual-specificity RNA methyltransferase RlmN;1;1;1;1;1;1;1;1;1
tetratricopeptide repeat protein;1;1;1;1;1;1;1;1;1
Cytoskeleton protein RodZ;1;1;1;1;1;1;1;1;1
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase;1;1;1;1;1;1;1;1;1
Histidine--tRNA ligase;1;1;1;1;1;1;1;1;1
Outer membrane protein assembly factor BamB precursor;1;1;1;1;1;1;1;1;1
Methionine aminotransferase;1;1;1;1;1;1;1;1;1
(R)-stereoselective amidase;1;1;1;1;1;1;1;1;1
2-isopropylmalate synthase;1;1;1;1;1;1;1;1;1
Murein DD-endopeptidase MepM;1;1;1;1;1;1;1;1;1
Exodeoxyribonuclease 7 large subunit;1;1;1;1;1;1;1;1;1
Sulfite exporter TauE/SafE;1;1;1;1;1;1;1;1;1
Inosine-5-monophosphate dehydrogenase;1;1;1;1;1;1;1;1;1
GMP synthase [glutamine-hydrolyzing];1;1;1;1;1;1;1;1;1
Trehalose operon transcriptional repressor;1;1;1;1;1;1;1;1;1
PTS system trehalose-specific EIIBC component;1;1;1;1;1;1;1;1;1
Trehalose-6-phosphate hydrolase;1;1;1;1;1;1;1;1;1
Maltoporin precursor;1;1;1;1;1;1;1;1;1
Phosphoenolpyruvate-protein phosphotransferase;1;1;1;1;1;1;1;1;1
PTS system glucose-specific EIICB component;1;1;1;1;1;1;1;1;1
putative kinase inhibitor;1;1;1;1;1;1;1;1;1
Urease operon transcriptional activator;1;1;1;1;1;1;1;1;1
Multicopper oxidase mco;1;1;1;1;1;1;1;1;1
tRNA-specific adenosine deaminase;1;1;1;1;1;1;1;1;1
tRNA (mo5U34)-methyltransferase;1;1;1;1;1;1;1;1;1
tRNA (cmo5U34)-methyltransferase;1;1;1;1;1;1;1;1;1
YhhN-like protein;1;1;1;1;1;1;1;1;1
Chagasin family peptidase inhibitor I42;1;1;1;1;1;1;1;1;1
Lon protease;1;1;1;1;1;1;1;1;1
Inner membrane metabolite transport protein YhjE;1;1;1;1;1;1;1;1;1
Magnesium and cobalt efflux protein CorC;1;1;1;1;1;1;1;1;1
Inner membrane protein YpjD;1;1;1;1;1;1;1;1;1
Signal recognition particle protein;1;1;1;1;1;1;1;1;1
30S ribosomal protein S16;1;1;1;1;1;1;1;1;1
